,_id,id_str,content,user_loc,user_screen_name,retweet_count,fav_count,created_at,char_count,sentiment_method,sentiment
17,5ffe14f0b9d79b051b531ab2,1.34910645567746e+18,"Tim O'Neill, humanities and social science instructor, transitioned his classes online and he kept his dedication to students. Tim embodies respect as he works with and connects with students. 

He shares his advice for success as a student at RCTC at https://t.co/bELWQQQdPD. https://t.co/Z4voY5duPz","Rochester, Minnesota",RochesterCTC,0,0,2021-01-12 21:30:18,300,tools,positive
18,5ffe1623b9d79b051b531ab4,1.34910774346299e+18,"Is your student a lover of science?? Be sure to sign up for the virtual science fair!! https://t.co/FNyJVBqSuB Registration is due January 29th! For more information, please visit the A.B. Combs website: “Academics and Programs” tab 🧪 🧬 🪐💥","North Carolina, USA",Combs1st,0,0,2021-01-12 21:35:25,239,tools,positive
19,5ffe16f5b9d79b051b531ab5,1.34910862718187e+18,"Do you know anyone taking classes towards their Technical Certificate of Credit(TCC), Diploma, or Associate's Degree program? Let them know they can register online for their spring classes by visiting https://t.co/EGeMGLXJRw https://t.co/bU8v9XGvi5",Savannah Georgia USA,SavannahTechPCE,0,0,2021-01-12 21:38:56,249,tools,neutral
21,5ffe1a3bb9d79b051b531ab9,1.34911214026801e+18,"An area middle school is transitioning to remote instruction following a positive COVID-19 case in a student, according to a letter sent to families.
https://t.co/jOnY1bNkHc","New Bern, NC",wcti12,0,0,2021-01-12 21:52:54,173,tools,positive
22,5ffe1b40b9d79b051b531aba,1.34911323643245e+18,"We're looking forward to joining fellow advocates statewide during the CA Hunger Action Coalition's week of advocacy!  

Learn more and sign up to join us here: https://t.co/Kte1qk5zQx","San Francisco & Marin, CA, USA",SFMFoodBank,0,0,2021-01-12 21:57:15,184,tools,positive
23,5ffe1be6b9d79b051b531abc,1.34911393255279e+18,Thank you @sstollar6 and team!  This looks like a great event with informative sessions.  Bringing invention and instruction aligned with the Science of Reading into Multi-Tiered Systems of Support is critical for student success!,"Wakefield, RI",MsKurto,0,0,2021-01-12 22:00:01,230,tools,positive
24,5ffe1e47b9d79b051b531ac0,1.34911648496284e+18,"Download Mobi Medical Microbiology: with STUDENT CONSULT Online Access, 7e &gt;&gt; https://t.co/LcbV74yik9",New York USA,BrewerYasmmin,0,0,2021-01-12 22:10:10,107,tools,neutral
25,5ffe205cb9d79b051b531ac1,1.34911871897929e+18,"First research project of 2021 - complete!  Habitats &amp; Communities (biomes, ecosystems) mobiles.  These talented kids blow me away!  I only have 1 student who opted for remote learning after holidays &amp; I can't wait to see what she made at home when she returns next week 🏜🏞🌊 https://t.co/DCbOehAc6Y","Winnipeg, Manitoba",Ms_SMartens,0,0,2021-01-12 22:19:02,306,tools,positive
26,5ffe20b5b9d79b051b531ac2,1.34911909461695e+18,"* Up to 25mbps

And yeh, technically 25mbps would be fine for a single student. But if the speed isn't consistent and there's multiple people pulling bandwidth... oof.

Here's what today looked like for Small Clone's school computer: https://t.co/2JHbGU0zhS",Hell aka Virginia,TheDebbieMia,0,0,2021-01-12 22:20:32,257,tools,positive
28,5ffe215eb9d79b051b531ac4,1.34911980225458e+18,Excited to have our student tours starting today. These are for 9th graders or other new students to WHS. Visit our website for more info or to view the virtual tour video!  #OneTribe #TheConejoWay @ConejoValleyUSD https://t.co/OXohaQ70hk,"Thousand Oaks, CA",WestlakeHS_CA,0,0,2021-01-12 22:23:20,238,tools,positive
31,5ffe2377b9d79b051b531ac7,1.34912205376974e+18,"✨Attention Student Organizations ✨

UIW Campus Engagement would like to invite your Organization to attend our Virtual Activities Fair on Wednesday, January 13. 

The event will be held virtually from 
11 a.m-1 p.m. 
Please register via UIW Engage. 

#uiw#uiwcardinals #uiwpride https://t.co/dEYXOZcY7L","San Antonio, Texas",UIWcampusengage,0,0,2021-01-12 22:32:17,302,tools,positive
32,5ffe23aeb9d79b051b531ac8,1.34912228560551e+18,"A story from distance learning: A student broke his arm and sent a note to the PE teacher to be excused from class. He hasn’t been going all year, so I’m not sure why he needs a not now.
#ElementaryTeacher #DistanceLearning #FifthGrade #WearAMask","California, USA",laura_a_jones88,0,0,2021-01-12 22:33:13,246,tools,negative
35,5ffe241cb9d79b051b531aca,1.34912274939493e+18,"Have you bought your 'tickets' yet?? 

Be a part of our first-ever Virtual Sellout campaign for Cat/Griz basketball! Your presence in the Brick is sorely missed, but here's an opportunity to show our student-athletes how much support they have! 

Buy now: https://t.co/lz4YOu03KF https://t.co/a9y79G476G",Montana State University ,MSUBobcats,0,0,2021-01-12 22:35:03,303,tools,positive
36,5ffe245fb9d79b051b531acb,1.3491230280646e+18,Carleton’s history undergraduate student association produced this impressive report on how students are managing online classes during a pandemic. Worth a look beyond just Carleton if you find yourself asking how students are feeling about it all ...,"Carleton University, Ottawa",lugthecam,0,0,2021-01-12 22:36:10,251,tools,positive
39,5ffe2498b9d79b051b531acd,1.34912326689665e+18,"@PaulTBackes Thanks for sharing your story. We can't wait to hear how this semester goes. 

It's student stories like yours that reaffirm our decision to keep learning flexible during this time, offering in-seat, virtual and online classes. 

Keep up the good work! #WeAreCC","Columbia, MO and Worldwide",ColumbiaColg,0,0,2021-01-12 22:37:06,274,tools,positive
40,5ffe24cdcc3e02c6bdcaccba,1.34912349039856e+18,@TheFive There have been kids left waiting for teacher's online. Some day's they don't even show up. Smaller schools and colleges had to upgrade there ITS department's to teach online which also took time.,New Jersey,web61,0,0,2021-01-12 22:38:00,205,tools,neutral
42,5ffe2571cc3e02c6bdcaccbb,1.34912417766463e+18,"If you’re so inclined.. please feel free to follow, like or RT. We could all use more self care right now. It’s essential. #thankyou #stress #yoga","Michigan, USA",dnicholas,0,0,2021-01-12 22:40:44,146,tools,positive
45,5ffe331023179040effd3a3a,1.34913880509414e+18,@froehlichm @basil_marin Gotta raise up @nottmer because she led a district wide response to Covid focused on empowering students K-12 with chances to engage in inquiry based learning and supported teachers at 30+ school sites to engage with new ways of teaching. #AbsoluteBadass https://t.co/RFQC5TBt6v,Colorado Springs,CraftingHeroes,0,0,2021-01-12 23:38:51,303,tools,positive
46,5ffe35ea23179040effd3a3b,1.34914186662585e+18,"""Livestreamed remote instruction is set to remain a significant part of K-12 education, long after the coronavirus pandemic is finally under control."" https://t.co/KTHzwgLYJN This isn't going away, people.","Flemington, New Jersey",willrich45,0,0,2021-01-12 23:51:01,205,tools,positive
49,5ffe50ae9e7cad1d475fabb4,1.34917060475954e+18,What a great opportunity for learning from my alma mater @SJSU @sjsulurie! Feedback has been an ongoing stress in online instruction.,"Texas, USA",dvneighborsEDU,0,0,2021-01-13 01:45:13,133,tools,positive
54,5ffe61676e329c0ff5c629ae,1.34918856182904e+18,@LLacrosse There is a lot of research--academic as well as commercial that is available online which indicates the effective uptake and impact of AR on K-12 learning.  Every client we work with has wanted to see the research--and it's there. And lots of studies still going on. #AppleEDUchat,New York,ElizabethReede,0,0,2021-01-13 02:56:34,291,tools,positive
55,5ffe616707c63a02aa2dcd05,1.34918856182904e+18,@LLacrosse There is a lot of research--academic as well as commercial that is available online which indicates the effective uptake and impact of AR on K-12 learning.  Every client we work with has wanted to see the research--and it's there. And lots of studies still going on. #AppleEDUchat,New York,ElizabethReede,0,0,2021-01-13 02:56:34,291,tools,positive
56,5fff37f959e483d3a8dfd20b,1.34941895372302e+18,"Remember: 

K-12 ""research databases"" are designed to bypass filtering

Our legislators &amp; #schoolleaders must get on board - fix the loopholes in obscenity statutes

#moms #dads #teachers #educators #schoollibrarians #parentingtips 

https://t.co/8L0IAdW9jS via @elearninginside","Colorado, USA",CCSDConvo,0,0,2021-01-13 18:12:04,282,tools,neutral
58,5fff444daa8bbb4411ee27b3,1.3494321902544e+18,"#STEM #entrepreneurs / #founders: Have you applied to #EarlyRisersAcademy yet? The free, 10-week virtual course, part of @LaunchDayton, will teach you the ins and outs of #funding, #commercialization, and more. Tech cohort led by our CEO. Learn more: https://t.co/UX1ZIq5ZlL","Hilliard, Ohio",ConvergeVentur1,0,0,2021-01-13 19:04:40,274,tools,positive
60,5fff5b107002fc979edd0d2b,1.34945663055609e+18,Also BIG shout out to @equalitycs for a great MLL/ELL middle school visit today! The co-teaching pair observed today in their remote classroom were CLEARLY invested in their student's learning during this difficult school year. #inclusiveschools #nyccharterschools #remotelearning,New York City,InclusiveEdNY,0,0,2021-01-13 20:41:47,280,tools,positive
62,5fff5b78409f619ae72fd29a,1.34945706716215e+18,RT @Jay_ONealWV: @WVeducation So let me get this straight: the State Board is having a REMOTE meeting to tell county school systems that th…,"West Virginia, USA",TracyLord3,0,0,2021-01-13 20:43:31,140,tools,positive
65,5fff5bca75bee4c234d3cda2,1.34945741422405e+18,"RT @Raspberry_Pi: Teachers, parents, students 📢 Access over 300 free, curriculum-mapped video lessons we've created based on our @WeAreComp…",New Forest,bakewelltartt,0,0,2021-01-13 20:44:53,140,tools,positive
67,5fff5c92074b622aa57940aa,1.34945824836617e+18,"@carbonarachimmy Yes we do! 😊
I absolutely LOVE teaching. It was rough with remote learning but we powered through it. It genuinely brings me so much joy. I never thought I would say I loved going to work every morning. If you ever need any advice/help don’t hesitate to reach out! 💜","New York, USA",Becca7xx,0,0,2021-01-13 20:48:12,283,tools,positive
68,5fff5cb9074b622aa57940ab,1.34945841172181e+18,I hope 2020's frantic efforts to get technology into student hands for COVID-related remote and hybrid learning leads to a real narrowing of the tech skills gap between our wealthy and less wealthy districts.,"Northern burbs, Illinois, USA",ShastathePlaid,0,0,2021-01-13 20:48:51,208,tools,positive
70,5fff5d55074b622aa57940ad,1.34945906665397e+18,RT @ColleenMConn: I've been tracking education coverage for several months for @thegrade_ and I started to notice outlets publishing the sa…,"New York, NY",soljourno,0,0,2021-01-13 20:51:27,140,tools,neutral
73,5fff5daf074b622aa57940b0,1.34945944623431e+18,RT @ColleenMConn: I've been tracking education coverage for several months for @thegrade_ and I started to notice outlets publishing the sa…,"Newport, RI",GNEErynDion,0,0,2021-01-13 20:52:58,140,tools,neutral
74,5fff5e24074b622aa57940b5,1.34945993797024e+18,". @flippingwithjoy teacher, Sir Wilfrid Laurier Coll Inst @tdsb
If you told me 8 months ago that I’d be part of presentation on strategies for remote learning, I would’ve laughed because I’d never been interested in virtual teaching
#tltechlive
Reg https://t.co/XU3X7Be1AZ","NY, CA and elsewhere",techlearning,0,0,2021-01-13 20:54:55,272,tools,positive
77,5fff5eb7074b622aa57940b9,1.34946055415129e+18,RT @Ofstednews: Remote learning tips from Ofsted's @ProfDanielMuijs - 'We don’t have to make huge changes to the way we teach.' https://t.c…,"Lambeth, London",LdnCLC,0,0,2021-01-13 20:57:22,140,tools,positive
79,5fff5f6f074b622aa57940c0,1.34946132470788e+18,"RT @tegatoney: I can tell you the answer is yes. They were offended. And quite frankly, not only am I offended, but I’m angry that this was…","West by God Virginia, USA",irishrebelTFS,0,0,2021-01-13 21:00:26,140,tools,negative
82,5fff5f88074b622aa57940c3,1.34946143140257e+18,". @flippingwithjoy teacher, Sir Wilfrid Laurier Coll Inst @tdsb

Isolation is a problem in remote learning. You need to build care and community in your class, so check in regularly
 
#tltechlive
Reg https://t.co/XU3X7Be1AZ","NY, CA and elsewhere",techlearning,0,0,2021-01-13 21:00:51,223,tools,negative
83,5fff6026074b622aa57940ca,1.3494620930121e+18,RT @massp: What MI % of schools are 5 days f2f? How many are still fully remote? What changes have been made over the past 5 months? Join u…,"Waterford, MI",SGSnead,0,0,2021-01-13 21:03:29,140,tools,positive
84,5fff6058074b622aa57940cb,1.34946230435467e+18,RT @EstergrenSue: @MochaBuz I am so sad. I am a teacher and this remote learning is awful for everyone.,"Minnesota, USA",MochaBuz,0,0,2021-01-13 21:04:19,103,tools,negative
86,5fff6094074b622aa57940cd,1.34946255454473e+18,"RT @CaraLisette: Uni students, give me your top tips for learning remotely.

Therapists, give me your top tips for delivering treatment rem…","Rio Dell, CA",jfksteelie,0,0,2021-01-13 21:05:19,140,tools,positive
93,5fff6224074b622aa57940d8,1.3494642317422e+18,RT @OmahaPubSchool: The next step in our phased transition to in-person learning is set. The Family 3/2 Model continues this month. We will…,"Omaha, Nebraska",OPS_WilsonFocus,0,0,2021-01-13 21:11:59,140,tools,neutral
94,5fff623c074b622aa57940d9,1.34946433092493e+18,@altNOAA The other group that should get it is teachers who are doing in-person teaching. My city's district completely failed to get the infrastructure in place to do full-remote learning (I am PISSED) so teachers have been forced back in the classroom.,"Middle of Nowhere, USA",TenshiHime13,0,0,2021-01-13 21:12:22,254,tools,negative
95,5fff625d074b622aa57940db,1.34946447071687e+18,"🎉 NEW LISTING IN MELROSE, MA! Immaculate Cape Cod style home with bonus space in basement for home office, remote learning or a gym.
➡️ See VIRTUAL TOUR and details here: https://t.co/vNktT8hHtf..
🏡*OPEN HOUSES: Jan 14, 5-6:30 p.m., Jan 17, 11-12:30 p.m. Contact us for info! https://t.co/hQyk5qqHZR","Melrose, MA",KimPerrottiTeam,0,0,2021-01-13 21:12:56,299,tools,positive
96,5fff625e074b622aa57940dc,1.34946447503282e+18,@BethlehemCSD I’m hearing from middle school parents that your teachers are accessing kids laptops while they are remote learning...audio and visual without permission...this is a violation of privacy and security in our homes.,"Albany, NY",Ninurek,0,0,2021-01-13 21:12:57,227,tools,negative
98,5fff6288074b622aa57940de,1.34946465186035e+18,"Start 2021 off right with 6 OK2Ask virtual professional learning workshops! Learn how to engage students with digital tools and integrate technology in remote, hybrid, HyFlex, and in-person learning environments from anywhere with an internet connection! #edtech #Teachers # https://t.co/XwWouJOTaM","Cupertino/Pacifica, CA  USA",smillerteacher,0,0,2021-01-13 21:13:39,298,tools,positive
99,5fff6290074b622aa57940df,1.3494646860189e+18,"RT @HCDSB: ATTN #HCDSB parents, staff &amp; students ~ schools in #Halton are still set to return to in-person learning on January 25th. We wil…","Milton, Ontario",StBeneHCDSB,0,0,2021-01-13 21:13:47,144,tools,neutral
103,5fff647a074b622aa57940e7,1.34946673876147e+18,"Start 2021 off right with 6 OK2Ask virtual professional learning workshops! Learn how to engage students with digital tools &amp; integrate technology in remote, hybrid, &amp; in-person learning environments from anywhere with an internet connection! https://t.co/9ZFU6TArdp #edtech https://t.co/johTCPwrVt","Cupertino/Pacifica, CA  USA",smillerteacher,0,0,2021-01-13 21:21:57,306,tools,positive
105,5fff64ca074b622aa57940e9,1.34946707605913e+18,Go to the Met now - especially if you're doing remote learning with the kiddos at home! Thanks @Verizon.  Now how about @NewfieldsToday in #Indy?,Indianapolis,KyleComm,0,0,2021-01-13 21:23:17,145,tools,positive
109,5fff65b3074b622aa57940ef,1.34946805363398e+18,"@cristina_CP24 Exactly..... my son has autism, isn’t in a special needs class but has full day ERW support. He is remote learning and it’s hard. Definitely not the same level of education as he gets in school. Remote learning does not work for most special needs kids.","Mississauga, Ontario",TothJC,0,0,2021-01-13 21:27:10,268,tools,positive
111,5fff65c7074b622aa57940f1,1.34946813568701e+18,RT @CathalMolloy: Breakout Rooms have been a welcome addition in @MicrosoftTeams during this period of remote learning for group and pair w…,Winnipeg,hildebrandt07,0,0,2021-01-13 21:27:30,140,tools,positive
112,5fff6632074b622aa57940f5,1.34946858277896e+18,"@snowfloof Not only that, they said they’re going back NO MATTER WHAT, and no full-time remote learning","Morgantown, West Virginia",3LegGingerCat,0,0,2021-01-13 21:29:16,103,tools,negative
113,5fff6642074b622aa57940f7,1.34946865458544e+18,RT @DanTbobMan: For an undemocratic/unelected state board to overrule the will of elected county school boards while putting the health and…,"Charleston, WV, USA, Earth",AstroValerie,0,0,2021-01-13 21:29:33,140,tools,neutral
114,5fff664e074b622aa57940f8,1.34946870438025e+18,RT @DanTbobMan: For an undemocratic/unelected state board to overrule the will of elected county school boards while putting the health and…,WV - She/Her or They/Them,XylariaVG,0,0,2021-01-13 21:29:45,140,tools,neutral
116,5fff6666074b622aa57940fa,1.34946880500152e+18,RT @DanTbobMan: For an undemocratic/unelected state board to overrule the will of elected county school boards while putting the health and…,USA,DazedWheels,0,0,2021-01-13 21:30:09,140,tools,neutral
117,5fff6671074b622aa57940fb,1.34946884939409e+18,"@literaryeric I feel totally seen. 
Also getting a lot of computer access scams which makes more sense in a way since less savvy folks are being forced to work from home or supervise children doing remote learning.",Metro NYC,mog1717,0,0,2021-01-13 21:30:20,214,tools,negative
121,5fff67a6074b622aa5794102,1.34947014613028e+18,"RT @teacherhead: If you already know, you know... but if not, this might be useful. https://t.co/tOzX9CtlcD",Wales,roger_wilcox,0,0,2021-01-13 21:35:29,107,tools,positive
127,5fff6833074b622aa5794109,1.34947073681411e+18,"RT @NicJNo: @lukeming It's EXHAUSTING, the teachers have been great, very engaged remotely with the kids. But trying to work from home, and…",Midlands North West,lukeming,0,0,2021-01-13 21:37:50,140,tools,positive
129,5fff6849074b622aa579410b,1.34947082771721e+18,"RT @shaun_allison: ‘Pedagogy trumps format’

Great article from @BeckyFrancis7 in the @tes 

https://t.co/aLBtGhFDvB",Cornwall,BrumbyAndrew,0,0,2021-01-13 21:38:11,116,tools,positive
132,5fff688a074b622aa579410e,1.34947110022957e+18,"RT @AbbyBenedetto: lineup for days!!!! I. Am. In. @LASTNAMELIPSET, @karlaevigil,  @Carlos_Moreno06, @kalebrashad and the rest of this ESTEE…","Providence, RI",karlaevigil,0,0,2021-01-13 21:39:16,140,tools,neutral
133,5fff688f074b622aa579410f,1.34947112346602e+18,RT @PeMissmills: Fitness Word Search Challenge for Ks3 remote learning! Pupils really engaging with this and sharing their results/progress…,"Georgia, USA",FreeHomeRocket,0,0,2021-01-13 21:39:22,140,tools,positive
136,5fff69dc074b622aa5794117,1.34947251821473e+18,"1/ “How’s your kid’s online class? Here’s the gold standard.” This is great, and inspiring, but an important lesson and new tool that we all should recognize from from this academic year is #technology. https://t.co/bZ3MwHx2op",New York,ElizabethReede,0,0,2021-01-13 21:44:54,226,tools,positive
139,5fff6c0d074b622aa579411e,1.34947487106408e+18,Accessing different parts of our brains as a support to learn and positive mental health. Kudos to our Grade 7 student who has found artistic experience on her journey during remote learning. https://t.co/g1q9RhqwNi,"Winnipeg, MB",varennesLRSD,0,0,2021-01-13 21:54:15,215,tools,positive
140,5fff6c2a074b622aa579411f,1.34947499456949e+18,"@mcnallypeterj @syleegrrl @CrazedHatter Funny enough my daughter is 8, is currently remote learning,  and she socializes a lot online. She does video calls with her friends and cousins and plays games with them online. So now you at least have 1.  :)",NW Indiana,ripsup,0,0,2021-01-13 21:54:45,250,tools,positive
142,5fff6d48074b622aa5794123,1.34947619316321e+18,The goal is to reduce too-big in-person class sizes and increase too-small remote class sizes. The downside is that it means yet another change for students and teachers who've experienced educational whiplash as a side effect of the COVID-19 pandemic. https://t.co/o8UMO5dQ7f,calexander@news-jrnl.com,bycassidy,0,0,2021-01-13 21:59:31,276,tools,positive
144,5fff6d78074b622aa5794125,1.34947639515253e+18,"RT @mhkryger: Some of you (@yalepccsm, @AASMorg, @atscommunity, @adrian_ajwsleep , @guy_lesch)  may not know I teach an undergraduate cours…","New York, NY",atscommunity,0,0,2021-01-13 22:00:19,140,tools,neutral
145,5fff6d86074b622aa5794126,1.34947645246348e+18,"A face-to-face workshop is not easily replicated in a virtual one. As trainers, you need to work harder and apply specific skills to make your online sessions successful. 
 
Join our online workshop and have fun discovering ways to ease into the world of remote learning. https://t.co/ZvYENS61ej","Pasadena, CA",RayJimenez,0,0,2021-01-13 22:00:32,295,tools,positive
149,5fff6e55074b622aa579412b,1.3494773195728e+18,We love this classroom construction zone that Jason Lee fourth-grade teachers created for their students! The students had started learning about area and perimeter in remote learning and donned hard hats in applying them to real world problems together in their classrooms. https://t.co/UPXGTZAG4Q,"Richland, WA",RichlandSD400,0,0,2021-01-13 22:03:59,298,tools,positive
152,5fff6eb4074b622aa579412f,1.34947772002404e+18,More resources to support remote learning on offer from the Open University https://t.co/95vmOE0NtN @clydeview_a @ndhs1 @PortGlasgowHS @_stcolumba @Ststephenshs @LomondViewAcad @CraigmarlochINV,Inverclyde and Greenwich,MichaelInverHOE,0,0,2021-01-13 22:05:35,193,tools,positive
154,5fff6edd074b622aa5794131,1.3494778935802e+18,RT @BarbaraBarrWGAL: Speaking 1-1 with SDOL Superintendent Damaris Rau about students returning to classrooms after declining academic perf…,"Lancaster, PA",SDoLancaster,0,0,2021-01-13 22:06:16,140,tools,neutral
157,5fff702c074b622aa5794138,1.34947929578638e+18,"Some reasons a certain portion of kids are thriving during remote learning:

1. Freedom to be self-directed learners
2. More comfortable communicating with peers/teachers through chat bars and emails
3. Unrestricted access to digital content

All 3 can still happen in-person!","Washington, DC",Kareemfarah23,0,0,2021-01-13 22:11:50,276,tools,positive
159,5fff78ddc50c7a5bdfdae07c,1.34948863046996e+18,"@KenWallace207 @Maine_207 I love this, @KenWallace207! What is your district doing for the students who have excelled at remote learning?","Morris, IL",Miss_Geiss,0,0,2021-01-13 22:48:56,137,tools,positive
160,5fff78f5c50c7a5bdfdae07d,1.34948873143095e+18,"✅  Teamwork ✅  Engaged Students ✅  Social &amp; Emotional Learning

It was inspiring to hear @GWCCobras teachers share at today's AVID Regional Presentation.  Mrs. Aguayo lead the session on how students have excelled with collaboration even during remote learning. https://t.co/UpQlQ78Ky6","Yuma, Arizona",YumaDistrict1,0,0,2021-01-13 22:49:20,289,tools,positive
161,5fff790ac50c7a5bdfdae07e,1.34948881648734e+18,"RT @pat_nabong: Locked-out CPS employees teach outside home of Chicago Board of Education president
https://t.co/Rak0avWSsv by @slesposito…","Chicago, USA",stamos1979,0,0,2021-01-13 22:49:40,139,tools,neutral
164,5fff79dfc50c7a5bdfdae084,1.34948971362381e+18,The art students are so inspired and motivated at @lyceechicago that even a short remote learning period following winter break doesn’t stop them from producing meaningful conceptual art. #finishstrong #motivated #arted #ibart #senior2021 https://t.co/DmvtmorhWp,"Illinois, USA",elysiasheehan,0,0,2021-01-13 22:53:14,262,tools,positive
167,5fff7ae4c50c7a5bdfdae089,1.34949080864333e+18,"Students everywhere are adjusting to new ways of learning. Here are five tools and strategies that can support personalized learning in a time of classroom, remote and hybrid learning. https://t.co/K1cHXXy8UH",Nashville and Middle Tennessee,JAofMidTN,0,0,2021-01-13 22:57:35,208,tools,positive
169,5fff7b13c50c7a5bdfdae08c,1.34949100250406e+18,"RT @ICMediaCenter: Fast, fun brain/body exercises change brain-chemistry around screen time. Learn how to boost focus for remote learning a…","Chicago, Illinois",MediaXOX,0,0,2021-01-13 22:58:21,140,tools,positive
170,5fff7b2dc50c7a5bdfdae08e,1.34949111348105e+18,RT @gregorymbryant: Thanks to @chancetherapper and @CDWCorp we are able to help equip students with the technology they need to have a mean…,Silicon Valley - California,caro_milanesi,0,0,2021-01-13 22:58:48,140,tools,positive
172,5fff7b75c50c7a5bdfdae090,1.34949141629312e+18,"In the first Ohio Charter News Weekly of the new year, we look at the vaccination schedule for school personnel, celebrate grants for improving remote learning, bust some myths, and more. Read it now. https://t.co/LMcNNfuubb","Columbus and Dayton, Ohio",OhioGadfly,0,0,2021-01-13 23:00:00,224,tools,positive
173,5fff7b7fc50c7a5bdfdae091,1.34949145519108e+18,"We're ensuring remote learning is accessible to our @NYCSchools students. 

That includes:
📱 500,000 iPads ordered for students
📱 450,000 iPads delivered to students
📱 50,000 iPads on the way https://t.co/e0neCzwiUB",New York City,nycgov,0,0,2021-01-13 23:00:09,215,tools,positive
175,5fff7b9ac50c7a5bdfdae094,1.34949156830309e+18,"Join me at #RemoteLearningConIL! I'm presenting: 
* 1/14: #Microcredentials: New horizons in #ProfessionalLearning 
* 1/15: Just Click Record: Podcasting for student and #ProfessionalLearning, with @DrNickSutton and @YodaMatt68
Read more at https://t.co/FjsJvt7erO @ltcillinois https://t.co/6Boy1QD37x","Macomb, IL",YodaMatt68,0,0,2021-01-13 23:00:36,301,tools,positive
176,5fff7bcac50c7a5bdfdae095,1.34949176974295e+18,RT @kashleyenglish: #vocabulary #language and #communication are key to pupils' learning and progress - now more than ever as we have moved…,Cambridgeshire,NickieEdu,0,0,2021-01-13 23:01:24,140,tools,positive
177,5fff7c2cc50c7a5bdfdae099,1.34949218325937e+18,Hey I think I know what’s blowing a hole in our budget amazing that we won’t built tablets stateside for half the cost,New York City,B_Y_3,0,0,2021-01-13 23:03:03,118,tools,positive
